0 0 1.33333
0.153425 0.0833333 1.33333
0.306849 0.166667 1.33333
0.460274 0.25 1.33333
0.613699 0.333333 1.33333
0.767123 0.416667 1.33333
0.920548 0.5 1.33336
1.07397 0.583333 1.33378
1.2274 0.666667 1.33428
1.38082 0.75 1.33376
1.53425 0.833333 1.33339
1.68767 0.916667 1.33334
1.8411 1 1.33333
1.99452 1.08333 1.33333
2.14795 1.16667 1.33333
2.30137 1.25 1.33333
2.45479 1.33333 1.33333
2.60822 1.41667 1.33333
2.76164 1.5 1.33333
2.91507 1.58333 1.33333
3.06849 1.66667 1.33333
3.22192 1.75 1.33333
3.37534 1.83333 1.33333
3.52877 1.91667 1.33333
3.68219 2 1.33333
3.83562 2.08333 1.33333
3.98904 2.16667 1.33333
4.14247 2.25 1.33333
4.29589 2.33333 1.33333
4.44932 2.41667 1.33333
4.60274 2.5 1.33333
4.75616 2.58333 1.33333
4.90959 2.66667 1.33333
5.06301 2.75 1.33333
5.21644 2.83333 1.33333
5.36986 2.91667 1.33333
5.52329 3 1.33333
5.67671 3.08333 1.33333
5.83014 3.16667 1.33333
5.98356 3.25 1.33333
6.13699 3.33333 1.33333
6.29041 3.41667 1.33333
6.44384 3.5 1.33333
6.59726 3.58333 1.33333
6.75068 3.66667 1.33333
6.90411 3.75 1.33333
7.05753 3.83333 1.33332
7.21096 3.91667 1.33328
7.36438 4 1.33311
7.51781 4.08333 1.33246
7.67123 4.16667 1.32994
7.82466 4.25 1.32065
7.97808 4.33333 1.29235
8.13151 4.41667 1.23621
8.28493 4.5 1.17094
8.43836 4.58333 1.11741
8.59178 4.66667 1.07929
8.74521 4.75 1.05338
8.89863 4.83333 1.03601
9.05205 4.91667 1.0244
9.20548 5 1.01663
9.3589 5.08333 1.01142
9.51233 5.16667 1.00791
9.66575 5.25 1.00553
9.81918 5.33333 1.00391
9.9726 5.41667 1.0028
10.126 5.5 1.00203
10.2795 5.58333 1.0015
10.4329 5.66667 1.00112
10.5863 5.75 1.00085
10.7397 5.83333 1.00066
